127.0.0.1 - - [17/Aug/2015:09:18:21 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:18:56 +0900] "GET /mysns/sns_main.jsp HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:18:57 +0900] "GET /mysns/css/styles.css HTTP/1.1" 200 7403
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:18:57 +0900] "GET /mysns/img/facebook_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:18:57 +0900] "GET /mysns/img/twitter_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:18:57 +0900] "GET /mysns/img/youtube_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:18:58 +0900] "GET /mysns/css/images/colbg.png HTTP/1.1" 404 605
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:18:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:38:12 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 5836
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:38:23 +0900] "POST /mysns/user_control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:38:23 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:38:41 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:38:41 +0900] "GET /mysns/img/facebook_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:38:41 +0900] "GET /mysns/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2015:09:38:41 +0900] "GET /mysns/img/twitter_32.png HTTP/1.1" 304 -
