127.0.0.1 - - [19/Aug/2015:12:31:38 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:31 +0900] "GET /mysns/sns_main.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:32 +0900] "GET /mysns/css/styles.css HTTP/1.1" 200 4463
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:32 +0900] "GET /mysns/img/obj21.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:33 +0900] "GET /mysns/img/obj22.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:33 +0900] "GET /mysns/img/facebook_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:33 +0900] "GET /mysns/img/youtube_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:33 +0900] "GET /mysns/img/twitter_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:34 +0900] "GET /mysns/img/board_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:46 +0900] "GET /mysns/sns_main.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:46 +0900] "GET /mysns/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:52 +0900] "GET /mysns/sns_login.jsp HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:52 +0900] "GET /mysns/img/ww.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:52 +0900] "GET /mysns/img/login_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:59 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:59 +0900] "GET /mysns/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:32:59 +0900] "GET /mysns/img/swim_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:33:08 +0900] "GET /mysns/sns_main.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:33:11 +0900] "GET /mysns/sns_login.jsp HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:33:11 +0900] "GET /mysns/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:33:13 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:33:51 +0900] "GET /mysns/sns_main.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:33:51 +0900] "GET /mysns/css/styles.css HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:33:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:11 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:11 +0900] "GET /mysns/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:11 +0900] "GET /mysns/img/swim_image1.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/sns_control.jsp?action=getall HTTP/1.1" 200 5877
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/img/obj21.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/img/obj22.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/img/facebook_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/img/twitter_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/img/youtube_32.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:37 +0900] "GET /mysns/img/swim_image1.png HTTP/1.1" 200 78666
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:40 +0900] "GET /mysns/sns_main.jsp HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [19/Aug/2015:12:34:41 +0900] "GET /mysns/sns_login.jsp HTTP/1.1" 200 3760
